geo_point_2d;geo_shape;id_df;standort;strasse;hausnummer;plz;ort;kanton;verfuegbar;bemerkung
47.5353973967883, 7.609464593449025;"{""coordinates"": [7.609464593449025, 47.5353973967883], ""type"": ""Point""}";32;ETAVIS Kriegel+Schaffner AG;Wien-Strasse;2;4053;Basel;BS;Erdgeschoss beim Empfang Bürogebäude;07:00 - 17:00 (Mo-Fr)
47.5504377617431, 7.585451349707408;"{""coordinates"": [7.585451349707408, 47.5504377617431], ""type"": ""Point""}";34;Fitnesspark Heuwage;Binningerstrasse;6;4051;Basel;BS;Am Empfang melden;06.30-22.00 (Mo-Fr)
47.56351017756949, 7.558008989392626;"{""coordinates"": [7.558008989392626, 47.56351017756949], ""type"": ""Point""}";37;Gartenbad Bachgraben, Restaurant- & Betriebsgebäude Sanität;Belforterstrasse;135;4055;Basel;BS;Betriebspersonal alarmieren. Gerät befindet sich im internen Rettungsrucksack.;Saisonal verfügbar wenn Betrieb geöffnet
47.552800349042506, 7.587619307253641;"{""coordinates"": [7.587619307253641, 47.552800349042506], ""type"": ""Point""}";40;irides AG (Blindenheim Basel);Kohlenberggasse;20;4051;Basel;BS;1. Stock - 8m rechts von der Türe;07:00 - 19:00 (Mo-So)
47.554059933009945, 7.58585591961581;"{""coordinates"": [7.58585591961581, 47.554059933009945], ""type"": ""Point""}";44;MAB Musikakademie;Leonhardsstrasse;23;4051;Basel;BS;MAB Musikakademie, Haus 11;07:30 - 22:00 (Mo-Sa)
47.55400469530528, 7.585911406447984;"{""coordinates"": [7.585911406447984, 47.55400469530528], ""type"": ""Point""}";46;MAB Musikakademie;Steinengraben;47;4051;Basel;BS;MAB Musikakademie, Haus 11;07:30 - 22:00 (Mo-Sa)
47.544491402270154, 7.61071992696721;"{""coordinates"": [7.61071992696721, 47.544491402270154], ""type"": ""Point""}";49;Rettung Basel-Stadt / Militär und Zivilschutz;Zeughausstrasse;2;4052;Basel;BS;Gebäude A, Eingangshalle EG rechts beim Zugang zum Kundenzentrum  Militär und Zivilschutz;08:30 - 16:00 (Mo-Fr)
47.56796359006518, 7.625659259488191;"{""coordinates"": [7.625659259488191, 47.56796359006518], ""type"": ""Point""}";55;Rettung Basel-Stadt / Militär und Zivilschutz;Zu den drei Linden;95;4058;Basel;BS;"Im Ausbildungszentrum an der Wand zum Büro ""Kursarzt""";07:30 - 16:00 (Mo-Fr) Nur wenn Kursbetrieb
47.579526193776005, 7.5963616057091174;"{""coordinates"": [7.596361605709117, 47.579526193776005], ""type"": ""Point""}";58;Morgan Sindall Professional Services Ag;Badenstrasse;3;4057;Basel;BS;Stücki Center, 5. Stock, rechts neben Eingang (Rezeption);08:00 - 17:00 (Mo-Fr)
47.550388723729505, 7.610647344381037;"{""coordinates"": [7.610647344381037, 47.550388723729505], ""type"": ""Point""}";59;Palliativzentrum Hildegard;St. Alban-Ring;151;4052;Basel;BS;Am Empfang melden;10.00-21.00 (Mo-Fr)
47.547272268952725, 7.590783868501729;"{""coordinates"": [7.590783868501729, 47.547272268952725], ""type"": ""Point""}";63;Polizeiposten Bahnhof SBB;Centralbahnstrasse;22;4051;Basel;BS;Defibrillator nicht im öffentlichen Raum.. Muss durch Mitarbeiter geholt werden..;09:00 - 18.30 (Mo-Fr). 09.00 - 17.00 (Sa)
47.564336245209766, 7.571646645044986;"{""coordinates"": [7.571646645044986, 47.564336245209766], ""type"": ""Point""}";67;Polizeiwache Kannenfeld;Strassburgallee;18;4055;Basel;BS;Defibrillator nicht im öffentlichen Raum.. Muss durch Mitarbeiter geholt werden..;07.30 - 19.00 (Mo-Sa)
47.540981876723166, 7.615596281919719;"{""coordinates"": [7.615596281919719, 47.540981876723166], ""type"": ""Point""}";69;Regionaldirektion Securitas AG;Auf dem Wolf;43;4052;Basel;BS;Anfrage an der Einsatzzentrale, sofort rechts beim Eintritt;00:00 - 24:00 (Mo-So)
47.56152540304134, 7.579522766405671;"{""coordinates"": [7.579522766405671, 47.56152540304134], ""type"": ""Point""}";71;Rettung Basel-Stadt / Sanität;Hebelstrasse;51;4056;Basel;BS;Sanitätsnotrufzentrale bei der Porte klingeln, EG linker Eingang im Zwischenraum;24/365
47.56152540304134, 7.579522766405671;"{""coordinates"": [7.579522766405671, 47.56152540304134], ""type"": ""Point""}";72;Rettung Basel-Stadt / Sanität;Hebelstrasse;51;4056;Basel;BS;AMBU 22, im Fahrzeug (Dienst-Of Piket Fahrzeug);wenn Fahrzeug vor Ort ist
47.56152540304134, 7.579522766405671;"{""coordinates"": [7.579522766405671, 47.56152540304134], ""type"": ""Point""}";74;Rettung Basel-Stadt / Sanität;Hebelstrasse;51;4056;Basel;BS;AMBU 26, im Fahrzeug (Bus für die Materialverwaltung / Pers. Transport);wenn Fahrzeug vor Ort ist
47.538544538193484, 7.609002015045353;"{""coordinates"": [7.609002015045353, 47.538544538193484], ""type"": ""Point""}";77;Sozialhilfe / Migrationszentrum;Münchensteinerstrasse;103;4052;Basel;BS;Bürogebäude, Porte;24 Std. / 365 Tage
