geo_point_2d;geo_shape;id_kj;ki_angebot;ju_angebot;traeger;angebot;strasse_nr;plz;ort;kanton;link
47.56222735394038, 7.602122854163397;"{""coordinates"": [7.602122854163397, 47.56222735394038], ""type"": ""Point""}";39;TRUE;FALSE;Jugendförderverein Oberes Kleinbasel ooink ooink Productions;Landhof Kidzz;Riehenstrasse 78a;4058;Basel-Stadt;BS;http://ooinkooink.ch/landhof.html
47.56220493498749, 7.602076279555659;"{""coordinates"": [7.602076279555659, 47.56220493498749], ""type"": ""Point""}";116;FALSE;TRUE;Jugendförderverein Oberes Kleinbasel ooink ooink Productions;Landhof Kidzz: Mädchenangebot;Riehenstrasse 78a;4058;Basel-Stadt;BS;http://ooinkooink.ch/landhof.html
47.558595410511714, 7.572748558480583;"{""coordinates"": [7.572748558480583, 47.558595410511714], ""type"": ""Point""}";36;TRUE;FALSE;Verein Kindertreffpunkt zum Burzelbaum;Kindertreffpunkt zum Burzelbaum;Schlettstadterstrasse 33;4055;Basel-Stadt;BS;https://info385343.wixsite.com/burzelbaum
47.567992664395355, 7.581316874248387;"{""coordinates"": [7.581316874248387, 47.567992664395355], ""type"": ""Point""}";35;TRUE;FALSE;Verein Spilruum Basel;Kindertreffpunkt Spilruum;St. Johanns-Park 1;4056;Basel-Stadt;BS;http://www.spilruum.ch/Offener-Treffpunkt/
47.56795572206507, 7.5813725887228784;"{""coordinates"": [7.581372588722878, 47.56795572206507], ""type"": ""Point""}";115;TRUE;FALSE;Verein Spilruum Basel;Kindertreffpunkt Spilruum: Jungentreffpunkt;St. Johanns-Park 1;4056;Basel-Stadt;BS;http://www.spilruum.ch/Offener-Treffpunkt/
47.541829621718804, 7.595512223808934;"{""coordinates"": [7.595512223808934, 47.541829621718804], ""type"": ""Point""}";98;FALSE;TRUE;Verein Mobile Jugendarbeit Basel;Dini Halle: Spiel, Sport in der Turnhalle;Thiersteinerschulhaus, Bärschwilerstrasse 11;4053;Basel-Stadt;BS;https://www.mjabasel.ch/projekte/dini-halle
47.562663856957364, 7.591972521965215;"{""coordinates"": [7.591972521965215, 47.562663856957364], ""type"": ""Point""}";43;FALSE;TRUE;Verein JuAr Basel;Mädona: Mädchentreffpunkt Claraplatz;Untere Rebgasse 27;4058;Basel-Stadt;BS;https://www.maedona.ch/
47.57057572369304, 7.587024970629449;"{""coordinates"": [7.587024970629449, 47.57057572369304], ""type"": ""Point""}";9;TRUE;TRUE;Verein JuAr Basel;Freizeithalle Dreirosen;Unterer Rheinweg 168;4057;Basel-Stadt;BS;https://www.dreirosen-freizeithalle.ch/freizeithalle
47.570620725799365, 7.586998516651978;"{""coordinates"": [7.586998516651978, 47.570620725799365], ""type"": ""Point""}";23;FALSE;TRUE;Verein JuAr Basel;Jugendzentrum Dreirosen;Unterer Rheinweg 168;4057;Basel-Stadt;BS;https://www.dreirosen-jugendzentrum.ch/
47.571584675093234, 7.578402723599071;"{""coordinates"": [7.578402723599071, 47.571584675093234], ""type"": ""Point""}";34;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Kindertankstelle Voltamatte;Voltamatte;4056;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/kindertankstelle.php
47.57115294775693, 7.578428173357654;"{""coordinates"": [7.578428173357654, 47.57115294775693], ""type"": ""Point""}";60;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Volta;Voltaplatz 4;4056;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.568331504688516, 7.560055481288748;"{""coordinates"": [7.560055481288748, 47.568331504688516], ""type"": ""Point""}";82;TRUE;FALSE;Verein Eulerstroos nüün;Villa YoYo Herzl;Waldighoferstrasse 16;4055;Basel-Stadt;BS;Standort Herzl (e-9.ch)
47.57343450755357, 7.594834274518708;"{""coordinates"": [7.594834274518708, 47.57343450755357], ""type"": ""Point""}";59;TRUE;FALSE;Verein Robi-Spiel-Aktionen;Quartierspielplatz Robi Horburg;Wiesenschanzweg 49;4057;Basel-Stadt;BS;http://www.robi-spiel-aktionen.ch/spielplaetze.php
47.55587787895668, 7.61440608753359;"{""coordinates"": [7.61440608753359, 47.55587787895668], ""type"": ""Point""}";95;FALSE;TRUE;Verein JuAr Basel / GGG Stadtbibliothek Basel;offene Jugendarbeit in der Bibliothek Breite;Zürcherstrasse 149;4052;Basel-Stadt;BS;https://www.stadtbibliothekbasel.ch/de/jugendarbeit.html
