geo_point_2d;geo_shape;id_entsorg;kategorie;name;beschreibu;adresse;plz;ortschaft;telefon;www_link;oeffnungsz;zustaendig
47.54370189233288, 7.594628547383005;"{""coordinates"": [7.594628547383005, 47.54370189233288], ""type"": ""Point""}";8043;Kleidercontainer;Kleidereinwurf - Klappe des Roten Kruez;Kleiderklappe - Einwurf gemäss Merkblatt auf der Webseite;Bruderholzstrasse 20;4053;Basel;;https://www.srk-basel.ch/das-srk-basel-unterstuetzen/kleiderspenden;;Amt für Umwelt und Energie Basel-Stadt
47.56270022187638, 7.5923591740001335;"{""coordinates"": [7.592359174000133, 47.56270022187638], ""type"": ""Point""}";9011;Korkzapfen;Korkzapfen;Korkzapfen von Flaschen;Untere Rebgasse 18;4058;Basel;+41 (0) 61 338 90 90;http://www.korken.ch;;Amt für Umwelt und Energie Basel-Stadt
47.55572384670418, 7.609815139448948;"{""coordinates"": [7.609815139448948, 47.55572384670418], ""type"": ""Point""}";9010;Korkzapfen;Claro Weltladen Breite;Korkzapfen von Flaschen;Schauenburgerstrasse 3;4052;Basel;+41 (0) 61 312 30 70;http://www.korken.ch;;Amt für Umwelt und Energie Basel-Stadt
47.557790202808434, 7.586841747190196;"{""coordinates"": [7.586841747190196, 47.557790202808434], ""type"": ""Point""}";9007;Korkzapfen;Paul Ullrich AG;Korkzapfen von Flaschen;Schneidergasse 27;4051;Basel;+41 (0) 61 338 90 90;http://www.korken.ch;;Amt für Umwelt und Energie Basel-Stadt
47.533669864829356, 7.609035704459404;"{""coordinates"": [7.609035704459404, 47.533669864829356], ""type"": ""Point""}";9005;Korkzapfen;Almas Vinos Vinothek für Spanische Weine;Korkzapfen von Flaschen;Florenz-Strasse 7;4142;Münchenstein;+41 (0) 61 332 00 86;http://www.korken.ch;;Amt für Umwelt und Energie Basel-Stadt
47.58363014438831, 7.5909622724191435;"{""coordinates"": [7.590962272419143, 47.58363014438831], ""type"": ""Point""}";9002;Korkzapfen;Remondis Recyclingpark;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 14-16:30, Sa 8-15:00;Bonergasse 12;4057;Basel;+41 (0) 61 639 34 30;http://www.korken.ch;;Amt für Umwelt und Energie Basel-Stadt
47.57698767597414, 7.569790734200395;"{""coordinates"": [7.569790734200395, 47.57698767597414], ""type"": ""Point""}";9001;Korkzapfen;Lottner Recyclingpark;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 6:30-11:45 und 12:45-16:15, Sa 8-14:45;Schlachthofstrasse 18;4056;Basel;+41 (0) 61 386 96 66;http://www.lottner.ch;;Amt für Umwelt und Energie Basel-Stadt
47.5618884866533, 7.589779015602546;"{""coordinates"": [7.589779015602546, 47.5618884866533], ""type"": ""Point""}";10000;Munition und Waffen;Fachstelle für Waffen der Basler Polizei;Munition, Waffen, Sprengstoff und Feuerwerk / Mo-Fr 7:30-16:00, Mi bis 18:00;Unterer Rheinweg 24;4058;Basel;+41 (0) 61 267 72 74;http://www.polizei.bs.ch/was-tun/bewilligung-einholen/waffen-sprengstoff.html;;Amt für Umwelt und Energie Basel-Stadt
47.56776073487204, 7.599100721200609;"{""coordinates"": [7.599100721200609, 47.56776073487204], ""type"": ""Point""}";11008;Pneus;Grosspeter AG;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Schönaustrasse 25;4058;Basel;+41 (0) 61 690 93 40;;;Amt für Umwelt und Energie Basel-Stadt
47.536471607193604, 7.610156277166219;"{""coordinates"": [7.610156277166219, 47.536471607193604], ""type"": ""Point""}";11007;Pneus;Emil Frey AG;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Brüglingerstrasse 2;4053;Basel;+41 (0) 61 335 61 11;;;Amt für Umwelt und Energie Basel-Stadt
47.533994008719034, 7.605057878631173;"{""coordinates"": [7.605057878631173, 47.533994008719034], ""type"": ""Point""}";11006;Pneus;ASAG Auto-Service AG;Autoreifen mit und ohne Felgen / Kostenpflichtig / keine Rücknahmepflicht;Reinacherstrasse 151;4053;Basel;+41 (0) 61 335 11 11;;;Amt für Umwelt und Energie Basel-Stadt
47.551983955594395, 7.638573956649782;"{""coordinates"": [7.638573956649782, 47.551983955594395], ""type"": ""Point""}";11005;Pneus;Waser Entsorgung AG;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 7:30-11:45 und 13-16:45 (Fr bis 16:30) Sa 9-13;Langenhagstrasse 50;4127;Birsfelden;+41 (0) 61 313 48 24;http://www.waserag.ch;;Amt für Umwelt und Energie Basel-Stadt
47.56244496295236, 7.551458619529125;"{""coordinates"": [7.551458619529125, 47.56244496295236], ""type"": ""Point""}";11004;Pneus;VEOLIA Umweltservice;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 7-11:45 und 13-16:45, Sa 8-12:30;Kiesstrasse 24-26;4123;Allschwil;+41 (0) 61 487 21 00;http://www.veolia-es.ch/de/;;Amt für Umwelt und Energie Basel-Stadt
47.58363043515477, 7.590946228869185;"{""coordinates"": [7.590946228869185, 47.58363043515477], ""type"": ""Point""}";11003;Pneus;Remondis Recyclingpark;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 14-16:30, Sa 8-15:00 / Pneus kostenpflichtig;Bonergasse 12;4057;Basel;+41 (0) 61 639 34 30;http://www.remondis.ch/index.php?id=138;;Amt für Umwelt und Energie Basel-Stadt
47.57698767597414, 7.569790734200395;"{""coordinates"": [7.569790734200395, 47.57698767597414], ""type"": ""Point""}";11002;Pneus;Lottner Recyclingpark;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 6:30-11:45 und 12:45-16:15, Sa 8-14:45;Schlachthofstrasse 18;4056;Basel;+41 (0) 61 386 96 66;http://www.lottner.ch;;Amt für Umwelt und Energie Basel-Stadt
47.56244369751372, 7.551353366916912;"{""coordinates"": [7.551353366916912, 47.56244369751372], ""type"": ""Point""}";12003;Recyclingpark;SRS Swiss Recycling Services;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 7-11:45 und 13-16:45, Sa 8-12:30;Kiesstrasse 24-26;4123;Allschwil;+41 (0) 61 482 02 02;https://www.srsrecycling.ch/de/service-fur-private/selbstablad-1226;Mo-Fr 7:30-11:45 und 13-17:30, Sa 7-14;Amt für Umwelt und Energie Basel-Stadt
47.57698767597414, 7.569790734200395;"{""coordinates"": [7.569790734200395, 47.57698767597414], ""type"": ""Point""}";12001;Recyclingpark;Lottner Recyclingpark;Diverse Abfälle und Wertstoffe in definierten Mengen, siehe Abfuhrplan;Schlachthofstrasse 18;4056;Basel;+41 (0) 61 386 96 66;https://www.paprec.ch/basel-recyclingpark/;Mo-Fr 6:30-11:45 und 12:45-16:45, Sa 8-14:45;Tiefbauamt Basel-Stadt
47.551983955594395, 7.638573956649782;"{""coordinates"": [7.638573956649782, 47.551983955594395], ""type"": ""Point""}";1021;Annahmestelle Sonderabfall;Waser Entsorgung AG;Diverse Abfälle und Wertstoffe in allen Mengen / Mo-Fr 7:30-11:45 und 13-16:45 (Fr bis 16:30) Sa 9-13;Langenhagstrasse 50;4127;Birsfelden;+41 (0) 61 313 48 24;http://www.waserag.ch;;Amt für Umwelt und Energie Basel-Stadt
47.566320507172904, 7.565326648518904;"{""coordinates"": [7.565326648518904, 47.566320507172904], ""type"": ""Point""}";1023;Annahmestelle Sonderabfall;Burgfelder-Apotheke;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Burgfelderstrasse 170;4055;Basel;061 321 29 29;http://www.burgfelderapotheke.ch/;Mo-Fr: 08:00-12:15 / 13:30-18:30, Sa: 08:00-13:00;Tiefbauamt Basel-Stadt
47.57698767597414, 7.569790734200395;"{""coordinates"": [7.569790734200395, 47.57698767597414], ""type"": ""Point""}";1012;Annahmestelle Sonderabfall;Lottner Recyclingpark;Sonderabfälle aus Privathaushalten bis max. 20kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Schlachthofstrasse 18;4056;Basel;061 386 96 66;https://www.paprec.ch/basel-recyclingpark/;Mo-Fr: 6:30-11:45 / 12:45-16:45, Sa: 08:00- 14:45;Tiefbauamt Basel-Stadt
47.56300101857025, 7.5980677589351595;"{""coordinates"": [7.59806775893516, 47.56300101857025], ""type"": ""Point""}";1008;Annahmestelle Sonderabfall;Lachenmeier Farben;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Clarastrasse 46;4058;Basel;061 681 00 36;http://www.lachenmeierfarben.ch/filialen/basel-clarastrasse-46/;Mo-Fr: 07:30-12:30 / 13:30-18:30, Sa: 09:00- 16:00;Tiefbauamt Basel-Stadt
47.55679100773718, 7.585413368256876;"{""coordinates"": [7.585413368256876, 47.55679100773718], ""type"": ""Point""}";1016;Annahmestelle Sonderabfall;TopPharm Apotheke am Spalebärg;Sonderabfälle aus Privathaushalten in Kleinmengen bis max. 5kg (Medikamente, Farben, Lösungsmittel, Biozide usw.).;Spalenberg 41;4051;Basel;061 261 42 84;https://www.apotheke.ch/am-spalebaerg;Mo-Fr: 08:30-18:30, Sa: 09:00-17:00;Tiefbauamt Basel-Stadt
