geo_point_2d;geo_shape;objid;recnum;art
47.55465061278094, 7.589270589377839;"{""coordinates"": [[[7.58938134275397, 47.55462644849104], [7.589319138662863, 47.55464481320403], [7.589236114343993, 47.55451648089973], [7.589152299504799, 47.55454121403361], [7.589233836878603, 47.55466997102377], [7.589166468867698, 47.5546898442813], [7.589351960897949, 47.55477912825385], [7.58938134275397, 47.55462644849104]]], ""type"": ""Polygon""}";5;3;Einbahn
47.566344767693074, 7.619628264341024;"{""coordinates"": [[[7.619552577212026, 47.56640463644118], [7.619591450861787, 47.56636690139052], [7.619761442555423, 47.56644685201266], [7.619813719839311, 47.56639610912217], [7.619644602241078, 47.56631526683943], [7.619686667816895, 47.566274450944995], [7.619459546565498, 47.56626408333325], [7.619552577212026, 47.56640463644118]]], ""type"": ""Polygon""}";13;7;Einbahn
47.54226509587299, 7.5887840118307555;"{""coordinates"": [[[7.58888948096736, 47.54223182886642], [7.588831090938612, 47.54225525199697], [7.588725290412225, 47.54213488065627], [7.588646667523701, 47.54216640616861], [7.588751101568549, 47.54228739091706], [7.588687882062257, 47.542312753858994], [7.588888187314991, 47.542385813044135], [7.58888948096736, 47.54223182886642]]], ""type"": ""Polygon""}";19;10;Einbahn
47.58552839466191, 7.560801510040449;"{""coordinates"": [[[7.560710978173852, 47.58547885785603], [7.560767771298241, 47.58550407958719], [7.560654394938468, 47.58562128621322], [7.560730815764513, 47.58565526524074], [7.560845535999465, 47.58553865071496], [7.560907026509891, 47.58556594499163], [7.560916019581838, 47.58541201851665], [7.560710978173852, 47.58547885785603]]], ""type"": ""Polygon""}";25;13;Einbahn
47.5873392612842, 7.56048004503895;"{""coordinates"": [[[7.560570597738378, 47.58738879310131], [7.560513776040779, 47.58736354433793], [7.560627169729149, 47.587246337910656], [7.560550733444915, 47.58721238582943], [7.560436035590436, 47.58732902694465], [7.560374529902783, 47.58730169647517], [7.560365534959469, 47.58745563179476], [7.560570597738378, 47.58738879310131]]], ""type"": ""Polygon""}";27;14;Einbahn
47.526844161718365, 7.573838052610399;"{""coordinates"": [[[7.573952179367235, 47.52682890427482], [7.573887214533723, 47.52684221857895], [7.57382702928005, 47.52670819044322], [7.573739608885645, 47.52672609057495], [7.573798254380788, 47.52686041733656], [7.573727874581699, 47.52687482608225], [7.573896521606335, 47.526978248389135], [7.573952179367235, 47.52682890427482]]], ""type"": ""Polygon""}";29;15;Einbahn
47.56599436156727, 7.591996590758145;"{""coordinates"": [[[7.591887646214492, 47.56596662077828], [7.591953284847977, 47.565978478100554], [7.591900161324619, 47.566113885226216], [7.591988468619216, 47.56612984083], [7.592043120915394, 47.56599471945095], [7.592114184144366, 47.56600757683751], [7.592051157256615, 47.56585951550378], [7.591887646214492, 47.56596662077828]]], ""type"": ""Polygon""}";37;19;Einbahn
47.563830441381675, 7.593944031935269;"{""coordinates"": [[[7.593883014819632, 47.56389753175746], [7.593912725781856, 47.563856193052764], [7.594099026161941, 47.563917272817505], [7.594138993423313, 47.56386164735268], [7.59395339456576, 47.56379957740795], [7.593985566995328, 47.56375481779198], [7.593758850494636, 47.56376850240978], [7.593883014819632, 47.56389753175746]]], ""type"": ""Polygon""}";39;20;Einbahn
47.5564035212819, 7.583176197290028;"{""coordinates"": [[[7.583271655036656, 47.556358459797764], [7.583220053656192, 47.556388365011905], [7.583085166361379, 47.55628209137388], [7.583015789741421, 47.55632233433268], [7.583149430021182, 47.55642931110689], [7.58309359685968, 47.55646164981721], [7.583309559050766, 47.55651026296654], [7.583271655036656, 47.556358459797764]]], ""type"": ""Polygon""}";41;21;Einbahn
47.54838654124172, 7.621021599169184;"{""coordinates"": [[[7.620905366858054, 47.54838281449929], [7.620973160014321, 47.54838042391228], [7.620984265392118, 47.54852035854399], [7.621075528734345, 47.54851714867189], [7.621066003714584, 47.548377157609096], [7.621139428577873, 47.548374569229566], [7.621012170141341, 47.54824685929888], [7.620905366858054, 47.54838281449929]]], ""type"": ""Polygon""}";51;26;Einbahn
47.54589986140375, 7.620869623061234;"{""coordinates"": [[[7.620753361723231, 47.54589668806205], [7.620821150697902, 47.54589400076889], [7.620833622996762, 47.546033834466506], [7.620924853970235, 47.54603017506551], [7.620913935420172, 47.54589029397523], [7.620987329239454, 47.54588739994473], [7.620858803814955, 47.54576024034752], [7.620753361723231, 47.54589668806205]]], ""type"": ""Polygon""}";57;29;Einbahn
47.54485090262265, 7.606840081034302;"{""coordinates"": [[[7.606955233168343, 47.54483951399804], [7.606889304453418, 47.54485061765591], [7.60683905144009, 47.54471470435417], [7.606750394406018, 47.544729654121824], [7.606799107170239, 47.544865821510946], [7.606727748440005, 47.544877823301654], [7.606888671009747, 47.54498680232659], [7.606955233168343, 47.54483951399804]]], ""type"": ""Polygon""}";59;30;Einbahn
47.55213381089008, 7.594906378180768;"{""coordinates"": [[[7.594794307067395, 47.552112530005175], [7.59486123312788, 47.55212052567252], [7.594825634743906, 47.55225853751895], [7.594915631632682, 47.55226927230148], [7.594952757993447, 47.55213141127149], [7.59502517274115, 47.55214008300552], [7.594943514739928, 47.55199628358037], [7.594794307067395, 47.552112530005175]]], ""type"": ""Polygon""}";71;37;Einbahn
47.55249139416484, 7.595916089866835;"{""coordinates"": [[[7.595998758910679, 47.55254683657442], [7.595946025093121, 47.552517848981495], [7.596076189158369, 47.55240895672809], [7.59600526550788, 47.55236999268925], [7.595873850544377, 47.55247818504011], [7.595816779018768, 47.55244683788549], [7.595784932146162, 47.55259936985702], [7.595998758910679, 47.55254683657442]]], ""type"": ""Polygon""}";73;38;Einbahn
47.55203171478792, 7.594212935545824;"{""coordinates"": [[[7.59429513428292, 47.55208747579806], [7.594242653713433, 47.552058298219514], [7.594373711512489, 47.551949847365194], [7.594303081256464, 47.55191063006283], [7.594170799164528, 47.552018380960355], [7.594113967532431, 47.55198678081816], [7.594080906833998, 47.552139215028404], [7.59429513428292, 47.55208747579806]]], ""type"": ""Polygon""}";75;39;Einbahn
47.549185877154336, 7.592024917831007;"{""coordinates"": [[[7.59211581279116, 47.54913667383279], [7.592067218743302, 47.54916880957268], [7.591922453106698, 47.54906871069248], [7.591857046527352, 47.54911193078387], [7.592000711721159, 47.54921277767458], [7.591948086727278, 47.549247553839976], [7.592168237647686, 47.549286521734665], [7.59211581279116, 47.54913667383279]]], ""type"": ""Polygon""}";81;42;Einbahn
47.55233382956277, 7.584947567426851;"{""coordinates"": [[[7.584983065049912, 47.552408872290016], [7.584956034152821, 47.55236667158748], [7.585145815658702, 47.55231076191484], [7.585109471869871, 47.55225399408679], [7.584919076715196, 47.55230891515906], [7.584889844387588, 47.552263236622046], [7.584757577309579, 47.55238863143419], [7.584983065049912, 47.552408872290016]]], ""type"": ""Polygon""}";93;48;Einbahn
47.553164206926795, 7.583187423963167;"{""coordinates"": [[[7.58323993577499, 47.55323452393578], [7.58320344278695, 47.553195743203226], [7.583377818494723, 47.55312027617276], [7.583328721436898, 47.553068083466094], [7.583153493200804, 47.553142670094076], [7.583113989203674, 47.55310067330436], [7.583012531353559, 47.553238574164325], [7.58323993577499, 47.55323452393578]]], ""type"": ""Polygon""}";95;49;Einbahn
