geo_point_2d;geo_shape;objid;id;es_id;es_name
47.559171539123156, 7.567044910831823;"{""coordinates"": [[[7.567014919365782, 47.55951519994851], [7.566966557078993, 47.559405071073435], [7.566873364658117, 47.55911721255701], [7.566895502200863, 47.559095900087414], [7.567113661687762, 47.55905434293464], [7.567145129087141, 47.55906182703546], [7.567230688561394, 47.559247021431105], [7.567310720716789, 47.55944850947543], [7.567403164037628, 47.55942962861025], [7.567317389694512, 47.55915553165267], [7.567268992745912, 47.5590366430423], [7.567235570111572, 47.558984093588215], [7.567181866039886, 47.55895660499081], [7.567139292409533, 47.55894413262148], [7.567091201129372, 47.558946694820676], [7.566815739294853, 47.55900584365594], [7.566732539250554, 47.5590172041515], [7.566690068892305, 47.559042280293355], [7.566688280735364, 47.559072330280436], [7.566710530611568, 47.55909234387449], [7.566736459158286, 47.5591060848018], [7.566944668806873, 47.55953029672762], [7.567014919365782, 47.55951519994851]]], ""type"": ""Polygon""}";94;107;2;Leinenpflicht
47.55863428440108, 7.5667744794948275;"{""coordinates"": [[[7.566723063806281, 47.55892204298458], [7.566763741233827, 47.558919507066385], [7.567142736292012, 47.5588402063653], [7.567188911427321, 47.55880885734904], [7.567198095608277, 47.558782549585054], [7.567100828573501, 47.5583306681371], [7.567030542282978, 47.55833575500069], [7.566745813487383, 47.55837988536943], [7.566509163053205, 47.55841643461463], [7.566522172923756, 47.558445227254985], [7.566250620158055, 47.55858824593984], [7.566243270404569, 47.5586095421202], [7.566267395271534, 47.55864707352466], [7.566489791953078, 47.55883339585643], [7.566560210793448, 47.5588834137152], [7.566632415319703, 47.55891338256469], [7.566723063806281, 47.55892204298458]]], ""type"": ""Polygon""}";96;108;1;Hundeverbot
47.543391598326735, 7.5885777895005875;"{""coordinates"": [[[7.587892977528906, 47.543808882327355], [7.587933828144666, 47.54384430144707], [7.58798914633969, 47.543852118102805], [7.589425351716939, 47.54329252845472], [7.589463116039775, 47.543264895664706], [7.589471748155985, 47.54323139166456], [7.589471698080798, 47.54321365600044], [7.589249752836192, 47.54294790714189], [7.589214788603562, 47.542932186236534], [7.589174043335903, 47.542934208519924], [7.587775589205846, 47.54346810556694], [7.587714547139829, 47.54349380694116], [7.587688430656939, 47.54352142425966], [7.587682706302538, 47.543554933396656], [7.587706078840506, 47.54358643567886], [7.587892977528906, 47.543808882327355]]], ""type"": ""Polygon""}";106;114;1;Hundeverbot
47.56317311673915, 7.591206607589285;"{""coordinates"": [[[7.590579910739874, 47.56294904563191], [7.591463022912327, 47.56321555301054], [7.591222278576003, 47.563597390704665], [7.591422278073627, 47.56366896149682], [7.591720993758742, 47.56318920466264], [7.591630149434029, 47.56315791789286], [7.591612232147538, 47.56317917556767], [7.59144120953367, 47.563129062084535], [7.591428890693763, 47.563147218554114], [7.591333803021033, 47.56311888705223], [7.591338843702987, 47.56309728654178], [7.591264571864763, 47.56307614966248], [7.591047877136703, 47.56301093199215], [7.591149040356965, 47.56285903074013], [7.590887715374695, 47.56278039857003], [7.590825450769316, 47.56287861030323], [7.590759699100424, 47.562858289396104], [7.590777245287083, 47.562837284159386], [7.590672915683546, 47.56280614914291], [7.590579910739874, 47.56294904563191]]], ""type"": ""Polygon""}";134;341;2;Leinenpflicht
47.554517654178646, 7.6150024744440525;"{""coordinates"": [[[7.614963292782829, 47.554401540697796], [7.614790364702536, 47.554685923897175], [7.614792887948585, 47.55469769289426], [7.61480449692908, 47.554704960266044], [7.614933767217383, 47.554741755897275], [7.614946187300304, 47.55474117947982], [7.614956933711307, 47.55473667532824], [7.615114694262385, 47.55462660469916], [7.615128704242458, 47.55460864993344], [7.615137762461031, 47.554591826890224], [7.615143475217337, 47.554567723982395], [7.615135957522607, 47.554544198741766], [7.615127628791347, 47.55452851727725], [7.615095994705575, 47.554475888843626], [7.615089306271835, 47.55445403517954], [7.615089235878153, 47.554432747085976], [7.615095783427337, 47.55441199758194], [7.615108954850716, 47.55438956520158], [7.615184725374297, 47.55426615505278], [7.615180541421691, 47.55425439757399], [7.61517225351488, 47.554251046477894], [7.61509270635711, 47.554228745638916], [7.61507864088537, 47.554229891171765], [7.615067074552828, 47.55423550280905], [7.614963292782829, 47.554401540697796]]], ""type"": ""Polygon""}";138;343;2;Leinenpflicht
47.5795280333159, 7.591596563398673;"{""coordinates"": [[[7.591356749703642, 47.57990440346006], [7.591106959918339, 47.579966229010054], [7.591146528057495, 47.580030760723396], [7.592115442927147, 47.57979167899242], [7.592258222612654, 47.57992065788722], [7.592288626737242, 47.57995956935976], [7.5923158808852, 47.579952365493064], [7.59228395850319, 47.57991242175759], [7.592119920906211, 47.57976809172242], [7.592008474889449, 47.57947403777258], [7.591872608247367, 47.5791133907395], [7.591857447002095, 47.57911033483261], [7.591833166407349, 47.57909293702247], [7.5918224891325, 47.57906835338667], [7.590968640955059, 47.57927549887294], [7.590983864981089, 47.57930521202464], [7.591029293127283, 47.579294899885014], [7.591052011466109, 47.57929589546698], [7.591064159789448, 47.57930510708194], [7.591292635258103, 47.57973431839579], [7.591371831941224, 47.579879777053115], [7.591371875944436, 47.579895156152354], [7.591368842482931, 47.579894134848864], [7.591356749703642, 47.57990440346006]]], ""type"": ""Polygon""}";144;346;1;Hundeverbot
47.54084007575254, 7.604407821814518;"{""coordinates"": [[[7.604659352786618, 47.54088977275812], [7.605026620917355, 47.54064003966984], [7.605515939910998, 47.54018839082959], [7.606468971971549, 47.539504662101656], [7.606399456576995, 47.53944163484348], [7.605440904839075, 47.540165339328084], [7.605161099211197, 47.540430687869964], [7.604444549649933, 47.54092225857719], [7.60331143347664, 47.541401967137006], [7.602401466858341, 47.54186014358189], [7.602471716284851, 47.54190751397289], [7.603119301112112, 47.54161585007016], [7.604116860928168, 47.54115162558005], [7.604659352786618, 47.54088977275812]]], ""type"": ""Polygon""}";152;130;2;Leinenpflicht
47.5530412670238, 7.603698393376818;"{""coordinates"": [[[7.603386100627433, 47.55322551788603], [7.603469215873509, 47.553200757429735], [7.603653276517528, 47.55310881454704], [7.603736549478695, 47.55305782790176], [7.603902528452596, 47.552927363034], [7.604014076639213, 47.55284800575191], [7.603936058558316, 47.552841083383285], [7.603938700573668, 47.5528534010712], [7.603593698285028, 47.55310202771068], [7.603484665859092, 47.55315322159154], [7.603367796847373, 47.553192105015825], [7.603386100627433, 47.55322551788603]]], ""type"": ""Polygon""}";156;132;2;Leinenpflicht
47.553103017001554, 7.603175594363773;"{""coordinates"": [[[7.603034395151774, 47.552990180712335], [7.603052720340747, 47.55303063571251], [7.603129950505831, 47.55306635777287], [7.603219495469617, 47.55315358756864], [7.603193523692595, 47.55316242914196], [7.603219636547256, 47.553199347562156], [7.603300114812677, 47.55318107544565], [7.603217810134669, 47.553106795475145], [7.603096466621968, 47.55302149027014], [7.603076034018562, 47.55300420614954], [7.603070774491104, 47.552983087257495], [7.603034395151774, 47.552990180712335]]], ""type"": ""Polygon""}";158;133;2;Leinenpflicht
47.55702216741609, 7.617360404242626;"{""coordinates"": [[[7.616844639243331, 47.55724337056227], [7.617118493889603, 47.55728309017012], [7.617597887329823, 47.557291402051405], [7.617612062299017, 47.55720781044087], [7.617610888754741, 47.556814390090125], [7.617581039939084, 47.5565464944385], [7.617491470619315, 47.55657569982961], [7.617314484219081, 47.556816671041666], [7.617038314496004, 47.55709317533653], [7.616962889055902, 47.55716869438439], [7.616844639243331, 47.55724337056227]]], ""type"": ""Polygon""}";164;169;1;Hundeverbot
