id_angebot;name;kategorie;beschreibu;strassenr;plz;ort;link;zustaendig;bemerkung;baselinfo;geo_point_2d;geo_shape
155;Eugen Wullschleger-Strasse;Tischtennistisch;Tischtennistisch;Eugen Wullschlerger-Strasse 18;4058;Basel;;ED;nicht STG;nein;47.56465168584916, 7.611901762947117;"{""coordinates"": [7.611901762947117, 47.56465168584916], ""type"": ""Point""}"
156;Kaltbrunnen-Schulhaus;Sporthalle;1-fach Sporthalle;Kaltbrunnenstrasse;4054;Basel;;Sportamt BS;;nein;47.54765396571434, 7.569116828234289;"{""coordinates"": [7.569116828234289, 47.54765396571434], ""type"": ""Point""}"
167;Theodor-Schulhaus;Sporthalle;1-fach Sporthalle;Theodorskirchplatz 3;4058;Basel;;Sportamt BS;;nein;47.558993396715465, 7.597304393690885;"{""coordinates"": [7.597304393690885, 47.558993396715465], ""type"": ""Point""}"
168;Christoph Merian-Platz;SkateAnlage;Skaten;Christoph-Merian-Platz;4052;Basel;;Stadtgärtnerei;i.O.;nein;47.549381403795074, 7.612199439377255;"{""coordinates"": [7.612199439377255, 47.549381403795074], ""type"": ""Point""}"
169;Sportzentrum Rankhof;Spezialsportanlage;Mehrzweckplatz, Basketball;Grenzacherstrasse 405;4058;Basel;;Sportamt BS;;nein;47.56234205654669, 7.620598075387272;"{""coordinates"": [7.620598075387272, 47.56234205654669], ""type"": ""Point""}"
171;Ackermätteli;Schulsportanlage;Spielwiese;Rastatterstrasse 32;4057;Basel;;Stadtgärtnerei;Name geändert;nein;47.57883746302704, 7.589432307233244;"{""coordinates"": [7.589432307233244, 47.57883746302704], ""type"": ""Point""}"
30;Pfirteranlage;Tischtennistisch;Tischtennistisch;Pfirterstrasse;4054;Basel;;Stadtgärtnerei;Adresse ergänzt;nein;47.54909540552784, 7.578271909528759;"{""coordinates"": [7.578271909528759, 47.54909540552784], ""type"": ""Point""}"
181;Dreirosenanlage;SkateAnlage;Skaten;Dreirosenanlage;4057;Basel;;Tiefbauamt;nicht STG, Ort ist eher Unt. Rheinweg!;nein;47.57034271564054, 7.589880224952859;"{""coordinates"": [7.589880224952859, 47.57034271564054], ""type"": ""Point""}"
183;Isaak Iselin-Schulhaus;Tischtennistisch;Tischtennistische;Strassburgerallee 65;4055;Basel;;ED;nicht STG;nein;47.56264798027268, 7.571332446013319;"{""coordinates"": [7.571332446013319, 47.56264798027268], ""type"": ""Point""}"
186;Thomas Platter-Schulhaus;Sporthalle;1-fach Sporthalle;Claragraben 40;4058;Basel;;Sportamt BS;;nein;47.56076727065277, 7.596412789714459;"{""coordinates"": [7.596412789714459, 47.56076727065277], ""type"": ""Point""}"
223;Parkplatz Eglisee;Tischtennistisch;Tischtennistisch;Riehenstrasse / Fasanenstrasse;4058;Basel;;Stadtgärtnerei;i.O.;nein;47.57036435853474, 7.616403647833754;"{""coordinates"": [7.616403647833754, 47.57036435853474], ""type"": ""Point""}"
193;Theater;Sporthalle;2 1-fach Sporthallen;Theaterstrasse 12;4051;Basel;;Sportamt BS;;nein;47.55320958709569, 7.58974641891287;"{""coordinates"": [7.58974641891287, 47.55320958709569], ""type"": ""Point""}"
204;St. Jakob;Hallenbad;Schwimmen, Schulschwimmbad (13.5x25m);St. Jakob-Strasse 110;4052;Basel;;Sportamt BS;;nein;47.53977044856786, 7.619424039052295;"{""coordinates"": [7.619424039052295, 47.53977044856786], ""type"": ""Point""}"
206;Beachvolleyball St. Jakob;Spezialsportanlage;Beachvolleyball (10 Felder);Grosse Allee 5;4052;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/sportanlagen-sportzentren/sportanlagen-st-jakob.html;Sportamt BS;Felder nur im Sommer bespielbar.;nein;47.534431492499294, 7.619574617471659;"{""coordinates"": [7.619574617471659, 47.534431492499294], ""type"": ""Point""}"
9;Schwarzwaldallee;Tischtennistisch;Tischtennistisch;Schwarzwaldallee;4058;Basel;;Stadtgärtnerei;i.O.;nein;47.56051784980104, 7.611331482342732;"{""coordinates"": [7.611331482342732, 47.56051784980104], ""type"": ""Point""}"
211;Basler LTC;Spezialsportanlage;Tennisplatz;Gundeldingerstrasse 1a;4053;Basel;http://bltc.ch/;Privat;;nein;47.54320276766629, 7.582716563069985;"{""coordinates"": [7.582716563069985, 47.54320276766629], ""type"": ""Point""}"
217;Im Surinam;Tischtennistisch;Tischtennistisch;Im Surinam;4058;Basel;;ED;nicht STG;nein;47.57082803248689, 7.608289249490667;"{""coordinates"": [7.608289249490667, 47.57082803248689], ""type"": ""Point""}"
220;Beachhalle;Spezialsportanlage;Beachvolleyball, Beachsoccer;Im Wasenboden 6;4055;Basel;http://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/beachhalle.html;Sportamt BS;Unter der Luzernerringbrücke.;nein;47.56953197483738, 7.57114182795441;"{""coordinates"": [7.57114182795441, 47.56953197483738], ""type"": ""Point""}"
221;Gotthelfschulhaus;Sporthalle;2 1-fach Sporthallen;Gotthelfplatz 1;4054;Basel;;Sportamt BS;;nein;47.554389503843254, 7.568202089453799;"{""coordinates"": [7.568202089453799, 47.554389503843254], ""type"": ""Point""}"
222;Kunsteisbahn Margarethen;Kunsteisbahn;Eishockey, Eislauf, Eisschnellauf, Curling;Im Margarethenpark 10;4053;Basel;https://www.jfs.bs.ch/fuer-sportlerinnen-und-sportler/sportanlagen/kunsteisbahnen/kunsteisbahn-margarethen.html;Sportamt BS;;ja;47.5406613806125, 7.586249766545257;"{""coordinates"": [7.586249766545257, 47.5406613806125], ""type"": ""Point""}"
65;Theodorskirchplatz;Tischtennistisch;Tischtennistisch;Theodorskirchplatz;4058;Basel;;Stadtgärtnerei;i.O.;nein;47.5590150732849, 7.5974351983687765;"{""coordinates"": [7.597435198368776, 47.5590150732849], ""type"": ""Point""}"
225;Sportzentrum Rankhof;Spezialsportanlage;Finnenbahn;Grenzacherstrasse 405;4058;Basel;;Sportamt BS;;nein;47.56249982875204, 7.6223023358947675;"{""coordinates"": [7.622302335894767, 47.56249982875204], ""type"": ""Point""}"
226;Wasgenring Schulhaus;Sporthalle;3 1-fach Sporthallen;Blotzheimerstrasse 82;4055;Basel;;Sportamt BS;;nein;47.56098813672429, 7.561696775106635;"{""coordinates"": [7.561696775106635, 47.56098813672429], ""type"": ""Point""}"
228;Schulareal Gotthelf/Gottfried Keller;Tischtennistisch;Tischtennistisch;Gotthelfplatz 1;4054;Basel;;ED Raum und Anlagen;Angebot löschen, doppelt;nein;47.554790651404204, 7.568582231002594;"{""coordinates"": [7.568582231002594, 47.554790651404204], ""type"": ""Point""}"
188;Winkelriedplatz;Tischtennistisch;2 Tischtennistische;Winkelriedplatz;4053;Basel;;Stadtgärtnerei;Stk erweitert;nein;47.543252557390154, 7.588870422038146;"{""coordinates"": [7.588870422038146, 47.543252557390154], ""type"": ""Point""}"
232;Bettingen;Sporthalle;1-fach Sporthalle;Hauptstrasse 107;4126;Bettingen;;Gemeinde Bettingen;;nein;47.57196654163763, 7.666404157759742;"{""coordinates"": [7.666404157759742, 47.57196654163763], ""type"": ""Point""}"
236;Trendsporthalle Basel;SkateAnlage;Skaten, Trendsport;Uferstrasse 80;4057;Basel;http://www.trendsportbasel.ch/index.php/verein.html;Verein Trendsport Basel;;nein;47.58038225485963, 7.586450100238023;"{""coordinates"": [7.586450100238023, 47.58038225485963], ""type"": ""Point""}"
240;Basler Ruder-Club;Spezialsportanlage;Rudern;Grenzacherstrasse 536;4125;Riehen;;Basler Ruder-Club;;nein;47.56230555283727, 7.6338601512874735;"{""coordinates"": [7.633860151287474, 47.56230555283727], ""type"": ""Point""}"
242;Burgstrassen-Schulhaus;Tischtennistisch;Tischtennistisch;Burgstrasse 51;4125;Riehen;;Gemeinde Riehen;;nein;47.57983125649132, 7.645855090706437;"{""coordinates"": [7.645855090706437, 47.57983125649132], ""type"": ""Point""}"
244;Burgstrassen-Schulhaus;Tischtennistisch;Tischtennistisch;Burgstrasse 51;4125;Riehen;;Gemeinde Riehen;;nein;47.57975522003215, 7.646129935837928;"{""coordinates"": [7.646129935837928, 47.57975522003215], ""type"": ""Point""}"
245;Burgstrassen-Schulhaus;Spezialsportanlage;Mehrzweckplatz, Basketball;Burgstrasse 51;4125;Riehen;;Gemeinde Riehen;;nein;47.57963316508221, 7.645984580055904;"{""coordinates"": [7.645984580055904, 47.57963316508221], ""type"": ""Point""}"
247;Erlensträsschen-Schulhaus;Sporthalle;1-fach Sporthalle;Erlensträsschen 8;4125;Riehen;https://www.riehen.ch/kultur-und-freizeit/freizeit-und-sport/sportanlagen-riehen/hallen-und-raumreservation;Gemeinde Riehen;;nein;47.585432029916916, 7.6492798093273535;"{""coordinates"": [7.649279809327354, 47.585432029916916], ""type"": ""Point""}"
251;Freizeitzentrum Landauer;Spezialsportanlage;Mehrzweckplatz, Basketball;Bluttrainweg 12;4125;Riehen;https://www.landauer.ch/;Gemeinde Riehen;;nein;47.56976564753873, 7.636477554340066;"{""coordinates"": [7.636477554340066, 47.56976564753873], ""type"": ""Point""}"
255;Habermatten;Spielwiese;Fussball, Spielwiese;In den Habermatten;4125;Riehen;;Gemeinde Riehen;;nein;47.57420510227402, 7.629371688710098;"{""coordinates"": [7.629371688710098, 47.57420510227402], ""type"": ""Point""}"
257;Hinter Gärten-Schulhaus;Sporthalle;Doppelsporthalle;Steingrubenweg 30;4125;Riehen;https://www.riehen.ch/kultur-und-freizeit/freizeit-und-sport/sportanlagen-riehen/hallen-und-raumreservation;Gemeinde Riehen;;ja;47.58866441352879, 7.658104025664322;"{""coordinates"": [7.658104025664322, 47.58866441352879], ""type"": ""Point""}"
260;Hinter Gärten-Schulhaus;Spielwiese;Fussball, Spielwiese;In den Habermatten;4125;Riehen;;Gemeinde Riehen;;nein;47.588015139405265, 7.657351574735039;"{""coordinates"": [7.657351574735039, 47.588015139405265], ""type"": ""Point""}"
266;Niederholz;Sporthalle;Dreifach-Sporthalle;Niederholzstrasse 95;4125;Riehen;https://www.riehen.ch/kultur-und-freizeit/freizeit-und-sport/sportanlagen-riehen/hallen-und-raumreservation;Gemeinde Riehen;;ja;47.571168491520986, 7.634612770758058;"{""coordinates"": [7.634612770758058, 47.571168491520986], ""type"": ""Point""}"
267;Niederholz-Schulhaus;Spielwiese;Fussball, Spielwiese;Niederholzstrasse 95;4125;Riehen;;Gemeinde Riehen;;nein;47.571168491520986, 7.634612770758058;"{""coordinates"": [7.634612770758058, 47.571168491520986], ""type"": ""Point""}"
270;Niederholz-Schulhaus;Tischtennistisch;Tischtennistisch;Langenlängenweg  14;4125;Riehen;;Gemeinde Riehen;;nein;47.571823027061484, 7.636700484503878;"{""coordinates"": [7.636700484503878, 47.571823027061484], ""type"": ""Point""}"
271;Niederholz-Schulhaus (ZBA);Tischtennistisch;Tischtennistisch;Niederholzstrasse 95;4125;Riehen;;Gemeinde Riehen;;nein;47.57099476182595, 7.635076073007832;"{""coordinates"": [7.635076073007832, 47.57099476182595], ""type"": ""Point""}"
273;Sarasinpark;Tischtennistisch;Tischtennistisch;Baselstrasse;4125;Riehen;;Gemeinde Riehen;;nein;47.58735690195263, 7.651477029863953;"{""coordinates"": [7.651477029863953, 47.58735690195263], ""type"": ""Point""}"
278;Spielplatz Hinter der Mühle;Tischtennistisch;Tischtennistisch;Hinter der Mühle 13;4125;Riehen;;Gemeinde Riehen;;nein;47.59374676760676, 7.653498189504093;"{""coordinates"": [7.653498189504093, 47.59374676760676], ""type"": ""Point""}"
279;Spielplatz Seidenmannweg;Tischtennistisch;Tischtennistisch;Seidenmannweg 1;4125;Riehen;;Gemeinde Riehen;;nein;47.59161442229707, 7.654930745532227;"{""coordinates"": [7.654930745532227, 47.59161442229707], ""type"": ""Point""}"
280;Tennisanlage TC Riehen;Spezialsportanlage;Tennisplätze;Holzmühleweg 17;4125;Riehen;;TC Riehen;;nein;47.579258825144315, 7.6373342150165655;"{""coordinates"": [7.637334215016566, 47.579258825144315], ""type"": ""Point""}"
281;Tennisanlage TC Stettenfeld;Spezialsportanlage;Tennisplätze;Stettenweg 69;4125;Riehen;;TC Stettenfeld;;nein;47.59181357429242, 7.658561048856438;"{""coordinates"": [7.658561048856438, 47.59181357429242], ""type"": ""Point""}"
283;Wasserstelzen;Spezialsportanlage;Mehrzweckplatz, Basketball;Wasserstelzenweg 15;4125;Riehen;;Gemeinde Riehen;;nein;47.5728612719656, 7.639735546651696;"{""coordinates"": [7.639735546651696, 47.5728612719656], ""type"": ""Point""}"
