geo_point_2d;geo_shape;objid;recnum
47.577415270397275, 7.6523224470652895;"{""coordinates"": [[7.65212625019504, 47.57741281866144], [7.652360469885294, 47.577373410149676], [7.652484998678443, 47.57751332096776]], ""type"": ""LineString""}";753;268
47.54865613637378, 7.617871954656889;"{""coordinates"": [[7.618062881532076, 47.5486759932361], [7.617822988889386, 47.54869291124943], [7.617728566395488, 47.548542626798444]], ""type"": ""LineString""}";787;285
47.57070839730318, 7.588930859325843;"{""coordinates"": [[7.589021866983641, 47.57083132893206], [7.588859142529873, 47.570710753481656], [7.58898163466186, 47.57057003322501]], ""type"": ""LineString""}";801;
47.5884881069489, 7.679541972200131;"{""coordinates"": [[7.679681004663624, 47.58857939540304], [7.679470715540019, 47.5884991937702], [7.679522265807793, 47.588339620538264]], ""type"": ""LineString""}";253;16
47.58855559058916, 7.679324439158455;"{""coordinates"": [[7.679463473542775, 47.58864688458206], [7.679253184439871, 47.588566673562894], [7.679304722133818, 47.58840710045919]], ""type"": ""LineString""}";255;17
47.58855559058916, 7.679324439158455;"{""coordinates"": [[7.679463473542775, 47.58864688458206], [7.679253184439871, 47.588566673562894], [7.679304722133818, 47.58840710045919]], ""type"": ""LineString""}";257;18
47.56960111235661, 7.673297424355896;"{""coordinates"": [[7.673418180933528, 47.569474370668814], [7.673355219955792, 47.56963202266933], [7.673114003917946, 47.56963762659805]], ""type"": ""LineString""}";265;22
47.569727043813046, 7.673447715733251;"{""coordinates"": [[7.673568466402866, 47.56960030302096], [7.673505505722253, 47.56975795509597], [7.673264302416977, 47.56976355931056]], ""type"": ""LineString""}";267;23
47.570411567193965, 7.678747658243981;"{""coordinates"": [[7.678643313036712, 47.57029569676507], [7.67881941025375, 47.570407349967766], [7.678713450047981, 47.570554112319996]], ""type"": ""LineString""}";275;27
47.57038092270221, 7.678982531137897;"{""coordinates"": [[7.678878185855154, 47.57026505592824], [7.679054283464745, 47.57037670877513], [7.678948323929292, 47.570523462350195]], ""type"": ""LineString""}";281;30
47.57252693441402, 7.653660249918037;"{""coordinates"": [[7.653567276768122, 47.57240496091565], [7.653731982929209, 47.57252432675589], [7.653611774583912, 47.5726659568263]], ""type"": ""LineString""}";297;38
47.57250697910156, 7.6538976486299;"{""coordinates"": [[7.653804674981712, 47.57238500586635], [7.653969381614951, 47.57250437136993], [7.65384917394862, 47.5726460016877]], ""type"": ""LineString""}";299;39
47.57138937521677, 7.64820698150467;"{""coordinates"": [[7.648283062298152, 47.571247002243325], [7.648274148907782, 47.57141020002809], [7.648041000089655, 47.57145239552062]], ""type"": ""LineString""}";303;41
47.55468430425135, 7.598612667884856;"{""coordinates"": [[7.598674033824982, 47.55481937464336], [7.598540982791884, 47.554683149239274], [7.598694251743803, 47.55455699939603]], ""type"": ""LineString""}";315;47
47.54789324731534, 7.624944697368518;"{""coordinates"": [[7.624746399436606, 47.54790744160542], [7.624970913804897, 47.54784777746752], [7.625121162132766, 47.54797555417211]], ""type"": ""LineString""}";319;49
47.52220730214427, 7.615378056627007;"{""coordinates"": [[7.615487390808269, 47.52232018005584], [7.615306367813933, 47.52221231297665], [7.615405388964963, 47.522063386331276]], ""type"": ""LineString""}";417;98
47.52764014276316, 7.6225115952971985;"{""coordinates"": [[7.622315043520738, 47.527640280035946], [7.622547792899017, 47.52759762337457], [7.622676409312825, 47.527735790158346]], ""type"": ""LineString""}";429;104
47.527467213638445, 7.622608643072733;"{""coordinates"": [[7.622412100200394, 47.527467346218735], [7.62264483549506, 47.527424698374425], [7.622773451711495, 47.52756285606489]], ""type"": ""LineString""}";431;105
47.527467213638445, 7.622608643072733;"{""coordinates"": [[7.622412100200394, 47.527467346218735], [7.62264483549506, 47.527424698374425], [7.622773451711495, 47.52756285606489]], ""type"": ""LineString""}";433;106
47.543246656246104, 7.549454112473965;"{""coordinates"": [[7.549389363799563, 47.54339132428133], [7.549385678837621, 47.54322803689712], [7.549615138368351, 47.54317764284252]], ""type"": ""LineString""}";443;111
47.53729534586632, 7.586513746602982;"{""coordinates"": [[7.58631547901964, 47.537309320760464], [7.58654012504245, 47.537249910625754], [7.586690025459876, 47.53737787285453]], ""type"": ""LineString""}";595;187
47.53729534586632, 7.586513746602982;"{""coordinates"": [[7.58631547901964, 47.537309320760464], [7.58654012504245, 47.537249910625754], [7.586690025459876, 47.53737787285453]], ""type"": ""LineString""}";597;188
47.543571912040136, 7.581164817616663;"{""coordinates"": [[7.580993348876389, 47.54366039265997], [7.58113389858931, 47.543527688672185], [7.581362566740154, 47.54357965374876]], ""type"": ""LineString""}";611;195
47.54341831916105, 7.581089368634902;"{""coordinates"": [[7.58091789235254, 47.54350679916843], [7.581058455130085, 47.543374095248794], [7.581287122545443, 47.54342606047718]], ""type"": ""LineString""}";617;198
47.52647088344303, 7.581412307166666;"{""coordinates"": [[7.581368062521026, 47.5263307581988], [7.581483980748119, 47.526473950807464], [7.581315962304087, 47.526591094411636]], ""type"": ""LineString""}";637;208
47.53896022990345, 7.612823867383363;"{""coordinates"": [[7.612718386786953, 47.53909358001099], [7.612762024334854, 47.53893297548641], [7.613001588848433, 47.53891400874792]], ""type"": ""LineString""}";641;210
47.53187883675546, 7.567108106487477;"{""coordinates"": [[7.567295122672124, 47.53190789166651], [7.567054078419979, 47.531912483349984], [7.566976750720064, 47.53175778501672]], ""type"": ""LineString""}";675;227
47.55584199290687, 7.595782997980554;"{""coordinates"": [[7.59594314074201, 47.555741786263646], [7.595822603277204, 47.5558832315665], [7.595587416770995, 47.55584680017712]], ""type"": ""LineString""}";701;240
47.53815776322026, 7.591802999185794;"{""coordinates"": [[7.591718119365823, 47.53829789784235], [7.591737163212472, 47.53813509414384], [7.591972593300591, 47.53809956481462]], ""type"": ""LineString""}";713;248
47.535856217187295, 7.579100698591112;"{""coordinates"": [[7.579035777159343, 47.53572237760323], [7.579172351922851, 47.53585696710541], [7.579022495371498, 47.53598495855591]], ""type"": ""LineString""}";727;255
47.573889611728134, 7.655337871100457;"{""coordinates"": [[7.655208479699557, 47.57379045505592], [7.655409451794855, 47.57388086321406], [7.655340805926919, 47.5740374453987]], ""type"": ""LineString""}";759;271
47.57718884587368, 7.6511858228044165;"{""coordinates"": [[7.650987673682931, 47.57721712157917], [7.651201505991354, 47.57714139114063], [7.651371352016373, 47.57725745007854]], ""type"": ""LineString""}";781;282
47.586423723643435, 7.663850095225209;"{""coordinates"": [[7.66376637246377, 47.586297378000104], [7.663921809598546, 47.58642228689667], [7.663791010099437, 47.58655954940435]], ""type"": ""LineString""}";785;284
47.57347591899861, 7.642486346269173;"{""coordinates"": [[7.642677584954976, 47.57341931909822], [7.642492693845446, 47.57352426669353], [7.642290090202605, 47.57343550284643]], ""type"": ""LineString""}";797;290
47.51147376455612, 7.620863511171765;"{""coordinates"": [[7.621057665559261, 47.51142609514198], [7.620862868767547, 47.51152228426709], [7.62066987874143, 47.511424391196364]], ""type"": ""LineString""}";223;1
47.58594600360763, 7.593397666813635;"{""coordinates"": [[7.593592179599587, 47.585955331135956], [7.593355101692802, 47.585985999494106], [7.593242075530311, 47.58584168458388]], ""type"": ""LineString""}";235;7
47.58594600360763, 7.593397666813635;"{""coordinates"": [[7.593592179599587, 47.585955331135956], [7.593355101692802, 47.585985999494106], [7.593242075530311, 47.58584168458388]], ""type"": ""LineString""}";237;8
47.570411567193965, 7.678747658243981;"{""coordinates"": [[7.678643313036712, 47.57029569676507], [7.67881941025375, 47.570407349967766], [7.678713450047981, 47.570554112319996]], ""type"": ""LineString""}";277;28
47.57133691108711, 7.6601155542435455;"{""coordinates"": [[7.659952642192772, 47.57127008220404], [7.660183575175314, 47.571317489215176], [7.660184493489454, 47.57148082215106]], ""type"": ""LineString""}";291;35
47.57250697910156, 7.6538976486299;"{""coordinates"": [[7.653804674981712, 47.57238500586635], [7.653969381614951, 47.57250437136993], [7.65384917394862, 47.5726460016877]], ""type"": ""LineString""}";301;40
47.554691305936934, 7.598851575965087;"{""coordinates"": [[7.598912942527402, 47.554826376123295], [7.598779890863524, 47.554690150994], [7.598933159267793, 47.55456400083492]], ""type"": ""LineString""}";313;46
47.55468430425135, 7.598612667884856;"{""coordinates"": [[7.598674033824982, 47.55481937464336], [7.598540982791884, 47.554683149239274], [7.598694251743803, 47.55455699939603]], ""type"": ""LineString""}";317;48
47.54773655802538, 7.6250046371622835;"{""coordinates"": [[7.624806334029739, 47.54775075520472], [7.625030860951629, 47.54769109092607], [7.625181108948832, 47.547818858566266]], ""type"": ""LineString""}";325;52
47.5450361973466, 7.6266264229548195;"{""coordinates"": [[7.626429649131294, 47.54507354218661], [7.626635103451492, 47.544988003404775], [7.626816280234929, 47.54509584281938]], ""type"": ""LineString""}";329;54
