geo_point_2d;geo_shape;bezeichnug;strasse;eurokey;plz;ort;www_link;gebuehr;kategorie;typ;zusatz;status
47.553940605221726, 7.610155901854315;"{""coordinates"": [7.610155901854315, 47.553940605221726], ""type"": ""Point""}";Zürcherstrasse 70;Zürcherstrasse 70;Nein;4052;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.55284911938938, 7.573362232952714;"{""coordinates"": [7.573362232952714, 47.55284911938938], ""type"": ""Point""}";Schützenmattpark;Schützenmattpark;Nein;4054;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.553849354102326, 7.5946625738316715;"{""coordinates"": [7.594662573831672, 47.553849354102326], ""type"": ""Point""}";Dufourstrasse / Kunstmuseum;Dufourstrasse;Nein;4052;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;saisonale Anlage;in Betrieb
47.57108412492194, 7.665123076149137;"{""coordinates"": [7.665123076149137, 47.57108412492194], ""type"": ""Point""}";Bettingen - öffentliche WC Anlage;Brohegasse 4;Nein;4126;Bettingen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.59430717418208, 7.654181696822097;"{""coordinates"": [7.654181696822097, 47.59430717418208], ""type"": ""Point""}";Hinter der Mühle;Hinter der Mühle 23;Nein;4125;Riehen;;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.58714430043599, 7.651152479455237;"{""coordinates"": [7.651152479455237, 47.58714430043599], ""type"": ""Point""}";Sarasinpark;Baselstr. 100;Nein;4125;Riehen;;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.58547019939876, 7.642546313827131;"{""coordinates"": [7.642546313827131, 47.58547019939876], ""type"": ""Point""}";Eisweiher;Erlensträsschen 90;Ja;4125;Riehen;;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.58276597130029, 7.653698903529029;"{""coordinates"": [7.653698903529029, 47.58276597130029], ""type"": ""Point""}";Mohrhaldenanlage;Mohrhaldenstr. 34;Nein;4125;Riehen;;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.57140183403767, 7.645419773731536;"{""coordinates"": [7.645419773731536, 47.57140183403767], ""type"": ""Point""}";Grenzacherweg;Grenzacherweg 226;Nein;4125;Riehen;;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.57016788663748, 7.636601734906127;"{""coordinates"": [7.636601734906127, 47.57016788663748], ""type"": ""Point""}";Landauer;Bluttrainweg 20;Nein;4125;Riehen;;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.58029035115351, 7.586419766151949;"{""coordinates"": [7.586419766151949, 47.58029035115351], ""type"": ""Point""}";Uferstrasse 70;Uferstrasse 70;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.55713943843466, 7.604775129826988;"{""coordinates"": [7.604775129826988, 47.55713943843466], ""type"": ""Point""}";Schaffhauserrheinweg;Schaffhauserrheinweg;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.562321647139335, 7.589420909397665;"{""coordinates"": [7.589420909397665, 47.562321647139335], ""type"": ""Point""}";Kaserne / Klingentalweglein;Kaserne / Klingentalweglein;Nein;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.57495012398665, 7.574120912976314;"{""coordinates"": [7.574120912976314, 47.57495012398665], ""type"": ""Point""}";Elsässerstrasse 180;Elsässerstrasse 180;Nein;4056;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.576827964483876, 7.60311801772935;"{""coordinates"": [7.60311801772935, 47.576827964483876], ""type"": ""Point""}";Freiburgerstrasse 36;Freiburgerstrasse 36;Ja;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.55703486026037, 7.565523324910747;"{""coordinates"": [7.565523324910747, 47.55703486026037], ""type"": ""Point""}";Allschwilerstrasse 123;Allschwilerstrasse 123;Nein;4055;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.55872513584774, 7.588579576213315;"{""coordinates"": [7.588579576213315, 47.55872513584774], ""type"": ""Point""}";Martinsgässlein;Martinsgässlein;Nein;4051;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nur Pissoir;-;in Betrieb
47.52815898593293, 7.592504223453394;"{""coordinates"": [7.592504223453394, 47.52815898593293], ""type"": ""Point""}";Reservoirstrasse 200;Reservoirstrasse 200;Nein;4059;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.55774390789285, 7.569336457049177;"{""coordinates"": [7.569336457049177, 47.55774390789285], ""type"": ""Point""}";Allschwilerstrasse 86;Allschwilerstrasse 86;Nein;4055;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.54142355323749, 7.58665830761968;"{""coordinates"": [7.58665830761968, 47.54142355323749], ""type"": ""Point""}";Unterer Batterieweg;Unterer Batterieweg;Nein;4053;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;rollstuhlgängig;-;in Betrieb
47.582576245272804, 7.588593370846815;"{""coordinates"": [7.588593370846815, 47.582576245272804], ""type"": ""Point""}";Westquaistrasse 5;Westquaistrasse 5;Nein;4057;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;konventionell;nicht rollstuhlgängig;-;in Betrieb
47.566100670919816, 7.607895527225942;"{""coordinates"": [7.607895527225942, 47.566100670919816], ""type"": ""Point""}";Badischer Bahnhof;Badischer Bahnhof;Ja;4058;Basel;http://www.tiefbauamt.bs.ch/oeffentlicher-raum/oeffentliche-Toiletten.html;kostenlos;selbstreinigend;rollstuhlgängig;-;in Betrieb
