,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
82,10084,10172,SG,3238,Widnau,Widnau,11,1,1000,20,01.01.1960,2198,24,31.12.2002,31.12.2002
83,10085,10172,SG,3237,Thal,Thal,11,1,1000,20,01.01.1960,2197,24,31.12.2002,31.12.2002
84,10086,10172,SG,3236,St. Margrethen,St. Margrethen,11,1,1000,20,01.01.1960,2196,24,31.12.2002,31.12.2002
85,10087,10172,SG,3235,Rheineck,Rheineck,11,1,1000,20,01.01.1960,2195,24,31.12.2002,31.12.2002
86,10088,10172,SG,3234,Diepoldsau,Diepoldsau,11,1,1000,20,01.01.1960,2194,24,31.12.2002,31.12.2002
87,10089,10167,GR,3911,Churwalden,Churwalden,11,1,1000,20,01.01.1960,2118,24,31.12.2000,31.12.2000
88,10090,10174,SG,3274,Sennwald,Sennwald,11,1,1000,20,01.01.1960,2208,24,31.12.2002,31.12.2002
89,10091,10202,SG,3355,Nesslau,Nesslau,11,1,1000,20,01.01.1960,2237,24,31.12.2002,31.12.2002
90,10092,10192,SG,3401,Degersheim,Degersheim,11,1,1000,20,01.01.1960,2251,24,31.12.2002,31.12.2002
91,10093,10196,SG,3394,Mosnang,Mosnang,11,1,1000,20,01.01.1960,2250,24,31.12.2002,31.12.2002
92,10094,10196,SG,3393,Lütisburg,Lütisburg,11,1,1000,20,01.01.1960,2249,24,31.12.2002,31.12.2002
93,10095,10196,SG,3392,Kirchberg (SG),Kirchberg (SG),11,1,1000,20,01.01.1960,2248,24,31.12.2002,31.12.2002
94,10096,10196,SG,3391,Bütschwil,Bütschwil,11,1,1000,20,01.01.1960,2247,24,31.12.2002,31.12.2002
95,10097,10201,SG,3377,Wattwil,Wattwil,11,1,1000,20,01.01.1960,2246,24,31.12.2002,31.12.2002
96,10098,10201,SG,3376,St. Peterzell,St. Peterzell,11,1,1000,20,01.01.1960,2245,24,31.12.2002,31.12.2002
97,10099,10201,SG,3375,Oberhelfenschwil,Oberhelfenschwil,11,1,1000,20,01.01.1960,2244,24,31.12.2002,31.12.2002
98,10100,10201,SG,3374,Lichtensteig,Lichtensteig,11,1,1000,20,01.01.1960,2243,24,31.12.2002,31.12.2002
99,10101,10201,SG,3373,Krinau,Krinau,11,1,1000,20,01.01.1960,2242,24,31.12.2002,31.12.2002
100,10102,10201,SG,3372,Hemberg,Hemberg,11,1,1000,20,01.01.1960,2241,24,31.12.2002,31.12.2002
101,10103,10201,SG,3371,Brunnadern,Brunnadern,11,1,1000,20,01.01.1960,2240,24,31.12.2002,31.12.2002
102,10104,10194,SG,3312,Benken (SG),Benken (SG),11,1,1000,20,01.01.1960,2220,24,31.12.2002,31.12.2002
103,10105,10161,SG,3297,Vilters,Vilters,11,1,1000,20,01.01.1960,1889,23,31.05.1996,31.05.1996
104,10106,10193,GR,3600,Surcuolm,Surcuolm,11,1,1000,20,01.01.1960,1993,24,31.12.2000,31.12.2000
105,10107,10202,SG,3354,Krummenau,Krummenau,11,1,1000,20,01.01.1960,2236,24,31.12.2002,31.12.2002
106,10108,10202,SG,3351,Alt St. Johann,Alt St. Johann,11,1,1000,20,01.01.1960,2234,24,31.12.2002,31.12.2002
107,10109,10203,SG,3339,Uznach,Uznach,11,1,1000,20,01.01.1960,2233,24,31.12.2002,31.12.2002
108,10110,10203,SG,3338,Schmerikon,Schmerikon,11,1,1000,20,01.01.1960,2232,24,31.12.2002,31.12.2002
109,10111,10203,SG,3337,St. Gallenkappel,St. Gallenkappel,11,1,1000,20,01.01.1960,2231,24,31.12.2002,31.12.2002
110,10112,10203,SG,3336,Rapperswil (SG),Rapperswil (SG),11,1,1000,20,01.01.1960,2230,24,31.12.2002,31.12.2002
111,10113,10203,SG,3335,Jona,Jona,11,1,1000,20,01.01.1960,2229,24,31.12.2002,31.12.2002
112,10114,10203,SG,3334,Gommiswald,Gommiswald,11,1,1000,20,01.01.1960,2228,24,31.12.2002,31.12.2002
113,10115,10203,SG,3333,Goldingen,Goldingen,11,1,1000,20,01.01.1960,2227,24,31.12.2002,31.12.2002
114,10116,10203,SG,3332,Eschenbach (SG),Eschenbach (SG),11,1,1000,20,01.01.1960,2226,24,31.12.2002,31.12.2002
115,10117,10203,SG,3331,Ernetschwil,Ernetschwil,11,1,1000,20,01.01.1960,2225,24,31.12.2002,31.12.2002
116,10118,10194,SG,3316,Weesen,Weesen,11,1,1000,20,01.01.1960,2224,24,31.12.2002,31.12.2002
117,10119,10194,SG,3315,Schänis,Schänis,11,1,1000,20,01.01.1960,2223,24,31.12.2002,31.12.2002
118,10120,10202,SG,3357,Wildhaus,Wildhaus,11,1,1000,20,01.01.1960,2239,24,31.12.2002,31.12.2002
119,10121,10164,GR,3774,Soglio,Soglio,11,1,1000,20,01.01.1960,2069,24,31.12.2000,31.12.2000
120,10122,10162,GR,3734,Trin,Trin,11,1,1000,20,01.01.1960,2054,24,31.12.2000,31.12.2000
121,10123,10165,GR,3803,Braggio,Braggio,11,1,1000,20,01.01.1960,2084,24,31.12.2000,31.12.2000
122,10124,10164,GR,3791,Zuoz,Zuoz,11,1,1000,20,01.01.1960,2082,24,31.12.2000,31.12.2000
123,10125,10164,GR,3790,Silvaplana,Silvaplana,11,1,1000,20,01.01.1960,2081,24,31.12.2000,31.12.2000
124,10126,10164,GR,3789,Sils im Engadin/Segl,Sils im Engadin/Segl,11,1,1000,20,01.01.1960,2080,24,31.12.2000,31.12.2000
125,10127,10164,GR,3788,S-chanf,S-chanf,11,1,1000,20,01.01.1960,2079,24,31.12.2000,31.12.2000
126,10128,10164,GR,3787,St. Moritz,St. Moritz,11,1,1000,20,01.01.1960,2078,24,31.12.2000,31.12.2000
127,10129,10164,GR,3786,Samedan,Samedan,11,1,1000,20,01.01.1960,2077,24,31.12.2000,31.12.2000
128,10130,10164,GR,3785,La Punt-Chamues-ch,La Punt-Chamues-ch,11,1,1000,20,01.01.1960,2076,24,31.12.2000,31.12.2000
129,10131,10164,GR,3784,Pontresina,Pontresina,11,1,1000,20,01.01.1960,2075,24,31.12.2000,31.12.2000
130,10132,10164,GR,3783,Madulain,Madulain,11,1,1000,20,01.01.1960,2074,24,31.12.2000,31.12.2000
131,10133,10164,GR,3782,Celerina/Schlarigna,Celerina/Schlarigna,11,1,1000,20,01.01.1960,2073,24,31.12.2000,31.12.2000
132,10134,10165,GR,3805,Castaneda,Castaneda,11,1,1000,20,01.01.1960,2086,24,31.12.2000,31.12.2000
133,10135,10164,GR,3775,Stampa,Stampa,11,1,1000,20,01.01.1960,2070,24,31.12.2000,31.12.2000
134,10136,10165,GR,3806,Cauco,Cauco,11,1,1000,20,01.01.1960,2087,24,31.12.2000,31.12.2000
135,10137,10164,GR,3773,Castasegna,Castasegna,11,1,1000,20,01.01.1960,2068,24,31.12.2000,31.12.2000
136,10138,10164,GR,3771,Bondo,Bondo,11,1,1000,20,01.01.1960,2067,24,31.12.2000,31.12.2000
137,10139,10163,GR,3763,Sent,Sent,11,1,1000,20,01.01.1960,2066,24,31.12.2000,31.12.2000
138,10140,10163,GR,3761,Ftan,Ftan,11,1,1000,20,01.01.1960,2064,24,31.12.2000,31.12.2000
139,10141,10163,GR,3753,Tschlin,Tschlin,11,1,1000,20,01.01.1960,2063,24,31.12.2000,31.12.2000
140,10142,10163,GR,3752,Samnaun,Samnaun,11,1,1000,20,01.01.1960,2062,24,31.12.2000,31.12.2000
141,10143,10163,GR,3751,Ramosch,Ramosch,11,1,1000,20,01.01.1960,2061,24,31.12.2000,31.12.2000
142,10144,10163,GR,3746,Zernez,Zernez,11,1,1000,20,01.01.1960,2060,24,31.12.2000,31.12.2000
143,10145,10163,GR,3745,Tarasp,Tarasp,11,1,1000,20,01.01.1960,2059,24,31.12.2000,31.12.2000
144,10146,10163,GR,3744,Susch,Susch,11,1,1000,20,01.01.1960,2058,24,31.12.2000,31.12.2000
145,10147,10163,GR,3743,Lavin,Lavin,11,1,1000,20,01.01.1960,2057,24,31.12.2000,31.12.2000
146,10148,10163,GR,3742,Guarda,Guarda,11,1,1000,20,01.01.1960,2056,24,31.12.2000,31.12.2000
